membership_id,agreement_id,country_id,member_type,mem_start,mem_end,mem_step,notes
94,1,22,1,1963-08-06,NULL,2,"Before November 1975 the People's Republic of Benin was known as Dahomey"
95,1,1,1,1967-10-24,NULL,1,NULL
96,1,2,1,1963-10-16,NULL,9,NULL
97,1,27,1,1962-12-04,NULL,9,NULL
98,1,19,1,1963-05-24,NULL,9,NULL
99,1,20,1,1963-12-31,NULL,9,NULL
100,1,3,1,1963-05-24,NULL,9,NULL
101,1,5,1,1963-11-23,NULL,9,NULL
102,1,24,1,1963-05-06,NULL,9,"Changed its name to Côte d'Ivoire as of 1 January 1986 (U.N. Memo of 12/12/85)."
103,1,6,1,1963-08-21,NULL,9,NULL
104,1,7,1,1963-05-08,NULL,9,NULL
105,1,8,1,1963-12-30,NULL,9,NULL
106,1,9,1,1963-05-17,NULL,9,NULL
107,1,10,1,1964-12-02,NULL,2,NULL
108,1,23,1,1962-11-14,NULL,9,NULL
109,1,38,1,1964-09-09,NULL,2,NULL
110,1,11,1,1963-06-05,NULL,9,NULL
111,1,92,1,1968-01-31,NULL,2,NULL
112,1,12,1,1965-08-02,NULL,2,NULL
113,1,13,1,1967-01-20,NULL,2,NULL
114,1,14,1,1963-11-19,NULL,9,NULL
115,1,15,1,1963-12-31,NULL,1,NULL
116,1,100,1,1967-05-03,NULL,2,NULL
117,1,37,1,1966-12-15,NULL,2,NULL
118,1,107,1,1967-06-22,NULL,2,NULL
119,1,25,1,1963-12-26,NULL,9,NULL
120,1,16,1,1963-08-01,NULL,9,NULL
121,1,17,1,1963-12-31,NULL,9,NULL
122,1,18,1,1963-06-21,NULL,9,NULL
123,1,29,1,1963-06-04,NULL,9,NULL
124,1,122,1,1968-04-29,NULL,2,NULL
125,1,30,1,1963-04-04,NULL,9,NULL
126,1,28,1,1962-12-10,NULL,9,NULL
127,1,32,1,1964-11-27,NULL,2,NULL
128,1,33,1,1962-11-27,NULL,9,NULL
129,1,26,1,1963-12-31,NULL,2,NULL
130,1,34,1,1963-12-31,NULL,9,NULL
131,1,35,1,1963-04-16,NULL,9,NULL
132,1,36,1,1964-08-27,NULL,2,NULL
133,2,22,1,1968-09-12,NULL,1,"Before November 1975 the People's Republic of Benin was known as Dahomey."
134,2,1,1,1968-12-30,NULL,9,NULL
135,2,2,1,1968-10-11,NULL,9,NULL
136,2,27,1,1968-09-17,NULL,9,NULL
137,2,19,1,1968-10-09,NULL,9,NULL
138,2,20,1,1968-12-20,NULL,9,NULL
139,2,3,1,1968-09-26,NULL,9,NULL
140,2,5,1,1968-12-30,NULL,9,NULL
141,2,24,1,1968-09-27,NULL,9,"Changed its name to Côte d'Ivoire as of 1 January 1986 (U.N. Memo of 12/12/85)."
142,2,7,1,1968-09-30,NULL,9,NULL
143,2,8,1,1968-12-16,NULL,9,NULL
144,2,9,1,1968-12-16,NULL,9,NULL
145,2,10,1,1968-12-24,NULL,9,NULL
146,2,23,1,1968-09-30,NULL,9,NULL
147,2,38,1,1968-12-23,NULL,9,NULL
148,2,11,1,1968-09-30,NULL,9,NULL
149,2,92,1,1968-12-30,NULL,9,NULL
150,2,12,1,1968-09-25,NULL,9,NULL
151,2,13,1,1968-12-16,NULL,9,NULL
152,2,14,1,1968-12-31,NULL,9,NULL
153,2,15,1,1968-09-26,NULL,1,NULL
154,2,100,1,1968-09-17,NULL,9,NULL
155,2,37,1,1968-12-10,NULL,9,NULL
156,2,107,1,1968-06-18,NULL,9,NULL
157,2,25,1,1968-08-08,NULL,9,NULL
158,2,16,1,1968-12-13,NULL,9,NULL
159,2,17,1,1968-09-30,NULL,9,NULL
160,2,18,1,1968-06-18,NULL,9,NULL
161,2,29,1,1968-12-21,NULL,2,NULL
162,2,122,1,1968-10-27,NULL,9,NULL
163,2,30,1,1968-10-25,NULL,9,NULL
164,2,28,1,1968-12-31,NULL,9,NULL
165,2,32,1,1968-12-11,NULL,9,NULL
166,2,33,1,1968-10-01,NULL,9,NULL
167,2,26,1,1968-11-29,NULL,9,NULL
168,2,34,1,1968-07-10,NULL,9,NULL
169,2,35,1,1968-10-14,NULL,9,NULL
170,2,36,1,1968-12-18,NULL,9,NULL
